-613714.1393078209 -909946.7271207003 159.7666742483 2003.8336254451 13.0000000000
-613685.2714074024 -909780.0285732766 160.4011855434 2003.8336254443 13.0000000000
-613656.0721400614 -909613.2846013374 161.0511792006 2003.8336254435 13.0000000000
-613626.6504204764 -909446.5538222196 161.7431728563 2003.8336254427 13.0000000000
-613597.0992808108 -909279.9055523799 162.1337007567 2003.8336254419 13.0000000000
-613567.4187829627 -909113.3397825768 162.2551871511 2003.8336254411 13.0000000000
-613537.6248529180 -908946.8457952653 161.9937088287 2003.8336254403 13.0000000000
-613507.7492662118 -908780.4021671944 161.3741972986 2003.8336254395 13.0000000000
-613477.8237751335 -908613.9874792679 160.5906753873 2003.8336254388 13.0000000000
-613447.8051603575 -908447.3667661638 160.1921929186 2003.8336254380 13.0000000000
-613417.7863311406 -908280.6093570547 159.8971865765 2003.8336254372 13.0000000000
-613387.7492485214 -908113.8595087401 159.3816916444 2003.8336254364 13.0000000000
-613357.7097599823 -907947.1065176894 158.2966728553 2003.8336254356 13.0000000000
-613327.5907344217 -907780.2703925401 156.4087017983 2003.8336254348 13.0000000000
-613297.5760109597 -907613.6232321743 154.1476996042 2003.8336254340 13.0000000000
-613267.4204616029 -907446.8022498052 152.8141880753 2003.8336254332 13.0000000000
-613237.3712821834 -907280.0367202192 153.3146993726 2003.8336254324 13.0000000000
-613207.1970540904 -907113.0866976337 154.7996701969 2003.8336254316 13.0000000000
-613177.0065308654 -906946.0107824844 156.3002126298 2003.8336254308 13.0000000000
-613146.8768006669 -906778.8889682923 157.6976741131 2003.8336254300 13.0000000000
-613116.9007855644 -906611.7905336439 159.0566719181 2003.8336254292 13.0000000000
-613087.1575440707 -906444.6619770584 160.4532039695 2003.8336254284 13.0000000000
-613057.7399532931 -906277.5725697062 161.3566924301 2003.8336254277 13.0000000000
-613028.4758878709 -906110.5065472210 161.6651746707 2003.8336254269 13.0000000000
-612999.4108332967 -905943.5652632071 161.3231890835 2003.8336254261 13.0000000000
-612970.4518078128 -905776.6794500913 160.8116920893 2003.8336254253 13.0000000000
-612941.5513765988 -905609.8811968560 160.4081888600 2003.8336254245 13.0000000000
-612912.7569575689 -905443.1384023450 159.9911845905 2003.8336254237 13.0000000000
-612884.1456969202 -905276.5310033562 159.7301782464 2003.8336254229 13.0000000000
-612855.6562168389 -905109.9683502687 159.4581822828 2003.8336254221 13.0000000000
-612827.3972488940 -904943.5089823466 159.0916832058 2003.8336254213 13.0000000000
-612799.1810472135 -904777.1478253989 158.4281986606 2003.8336254205 13.0000000000
-612770.9304552530 -904610.8049417973 157.4741985415 2003.8336254197 13.0000000000
-612742.4279861095 -904444.3632625634 156.2951859832 2003.8336254189 13.0000000000
-612713.7034996970 -904277.9348048837 155.0991900135 2003.8336254181 13.0000000000
